Name,Address,Latitude,Longitude,Website,PhoneNumber,ReviewsCount,AverageRating
Hazie's,"501 Hayes St, San Francisco, CA 94102, United States",37.7765501,-122.4608258,haziessf.com,+1 415-678-5156,140,4.4
Gyro King,"25 Grove St, San Francisco, CA 94102, United States",37.7765501,-122.4608258,gyroking.co,+1 415-621-8313,756,4.3
MKT Restaurant and Bar,"757 Market St, San Francisco, CA 94103, United States",37.7864857,-122.4405037,fourseasons.com,+1 415-633-3838,391,4.5
VILLON,"1100 Market St, San Francisco, CA 94102, United States",37.7864857,-122.4405037,properhotel.com,+1 628-895-2039,398,4.4
Orphan Andy's Restaurant,"3991 17th St, San Francisco, CA 94114, United States",37.762326,-122.4709385,,+1 415-864-9795,2063,4.5
Sotto Mare,"552 Green St, San Francisco, CA 94133, United States",37.7997503,-122.4443938,sottomaresf.com,+1 415-398-3181,3806,4.6
La Société Bar & Café,"50 3rd St, San Francisco, CA 94103, United States",37.7997503,-122.4443938,lasocietecafe.com,+1 415-974-6400,77,4.5
Abacá,"2700 Jones St, San Francisco, CA 94133, United States",37.7997503,-122.4443938,restaurantabaca.com,+1 415-486-0788,405,4.4
Gary Danko,"800 North Point St, San Francisco, CA 94109, United States",37.7997503,-122.4443938,garydanko.com,+1 415-749-2060,1888,4.6
Trestle Restaurant,"531 Jackson St, San Francisco, CA 94133, United States",37.7997503,-122.4443938,trestlesf.com,+1 415-772-0922,961,4.6
