Name,Address,Latitude,Longitude,Website,PhoneNumber,ReviewsCount,AverageRating
Jollidaze,"519 6th Ave S #110, Seattle, WA 98104, United States",47.6209652,-122.5001794,jollidaze.com,+1 206-758-8075,34,5.0
Pike Place MarketFront Parking Garage,"1901 Western Ave, Seattle, WA 98101, United States",47.6094866,-122.631299,pikeplacemarket.org,+1 206-682-7453,272,4.6
Kerry Park,"211 W Highland Dr, Seattle, WA 98119, United States",47.6094866,-122.631299,seattle.gov,+1 206-684-4075,15935,4.8
Golden Gardens Park,"8498 Seaview Pl NW, Seattle, WA 98117, United States",47.6094866,-122.631299,seattle.gov,+1 206-684-4075,7975,4.7
Discovery Park,"Seattle, WA 98199, United States",47.6094866,-122.631299,seattle.gov,+1 206-386-4236,7381,4.8
Volunteer Park,"1247 15th Ave E, Seattle, WA 98112, United States",47.6094866,-122.631299,seattle.gov,+1 206-684-4075,4915,4.7
Green Lake Park,"7201 East Green Lake Dr N, Seattle, WA 98115, United States",47.6094866,-122.631299,seattle.gov,+1 206-684-4075,9040,4.7
Lake Union Park,"860 Terry Ave N, Seattle, WA 98109, United States",47.6094866,-122.631299,seattle.gov,+1 206-684-4075,4446,4.6
Centennial Park,"2711 Alaskan Way W, Seattle, WA 98119, United States",47.6094866,-122.631299,portseattle.org,+1 206-787-3000,1627,4.7
Carkeek Park,"950 NW Carkeek Park Rd, Seattle, WA 98177, United States",47.6094866,-122.631299,seattle.gov,+1 206-386-4236,3891,4.7
